spot_strike_ratio,ttm,risk_free_rate,price_strike_ratio,volatility,left_ci,right_ci,predicted_vol,vol_left_ci,vol_right_ci
0.7183,0.4027,0.0567,0.0016,0,0,0,0.5070,0.1744,0.1744
0.7505,0.4027,0.0567,0.0030,0,0,0,0.4893,0.1186,0.1186
0.7857,0.4027,0.0567,0.0056,0,0,0,0.4689,0.0551,0.0551
0.8110,0.4027,0.0567,0.0084,0,0,0,0.4537,0.0551,0.0551
0.8522,0.4027,0.0567,0.0150,0,0,0,0.4436,0.0551,0.0551
0.8821,0.4027,0.0567,0.0217,0,0,0,0.4613,0.0551,0.0551
0.8979,0.4027,0.0567,0.0259,0,0,0,0.4943,0.0551,0.0551
0.9142,0.4027,0.0567,0.0309,0,0,0,0.5502,0.0551,0.0551
0.9346,0.4027,0.0567,0.0378,0,0,0,0.5553,0.0551,0.0551
0.9487,0.4027,0.0567,0.0432,0,0,0,0.4867,0.0551,0.0551
0.9670,0.4027,0.0567,0.0508,0,0,0,0.3674,0.0551,0.0551
0.9782,0.4027,0.0567,0.0560,0,0,0,0.3039,0.0551,0.0551
0.9859,0.4027,0.0567,0.0596,0,0,0,0.2658,0.0551,0.0551
0.9977,0.4027,0.0567,0.0654,0,0,0,0.3750,0.0551,0.0551
1.0304,0.4027,0.0567,0.0836,0,0,0,0.4563,0.0551,0.0551
1.0432,0.4027,0.0567,0.0914,0,0,0,0.4689,0.0551,0.0551
1.0475,0.4027,0.0567,0.0941,0,0,0,0.4740,0.0551,0.0551
1.0608,0.4027,0.0567,0.1027,0,0,0,0.4766,0.0551,0.0551
1.1376,0.4027,0.0567,0.1581,0,0,0,0.3877,0.1186,0.1186
