spot_strike_ratio,ttm,risk_free_rate,price_strike_ratio,volatility,left_ci,right_ci,predicted_vol,vol_left_ci,vol_right_ci
0.7234,0.3123,0.0580,0.0009,0,0,0,0.4639,0.2176,0.2176
0.7673,0.3123,0.0580,0.0023,0,0,0,0.4766,0.1770,0.1770
0.8038,0.3123,0.0580,0.0046,0,0,0,0.4689,0.1363,0.1363
0.8168,0.3123,0.0580,0.0057,0,0,0,0.4639,0.1186,0.1186
0.8384,0.3123,0.0580,0.0081,0,0,0,0.4563,0.0805,0.0805
0.8440,0.3123,0.0580,0.0089,0,0,0,0.4537,0.0678,0.0678
0.8731,0.3123,0.0580,0.0136,0,0,0,0.4385,0.0551,0.0551
0.9043,0.3123,0.0580,0.0204,0,0,0,0.4131,0.0551,0.0551
0.9207,0.3123,0.0580,0.0249,0,0,0,0.3928,0.0551,0.0551
0.9555,0.3123,0.0580,0.0366,0,0,0,0.3344,0.0551,0.0551
0.9929,0.3123,0.0580,0.0531,0,0,0,0.4131,0.0551,0.0551
0.9969,0.3123,0.0580,0.0550,0,0,0,0.4131,0.0551,0.0551
1.0008,0.3123,0.0580,0.0570,0,0,0,0.4156,0.0551,0.0551
1.0048,0.3123,0.0580,0.0591,0,0,0,0.4182,0.0551,0.0551
1.0128,0.3123,0.0580,0.0634,0,0,0,0.4207,0.0551,0.0551
1.0169,0.3123,0.0580,0.0657,0,0,0,0.4232,0.0551,0.0551
1.0210,0.3123,0.0580,0.0679,0,0,0,0.4232,0.0551,0.0551
1.0377,0.3123,0.0580,0.0778,0,0,0,0.4283,0.0551,0.0551
1.0506,0.3123,0.0580,0.0858,0,0,0,0.4258,0.0551,0.0551
1.0550,0.3123,0.0580,0.0886,0,0,0,0.4258,0.0551,0.0551
1.1154,0.3123,0.0580,0.1311,0,0,0,0.3496,0.0855,0.0855
1.1405,0.3123,0.0580,0.1508,0,0,0,0.2887,0.1135,0.1135
